pick_up_pincode,latest_order_date,total_transactions,delivered_orders,delivered_percentage,latitude,longitude,latitude_x,longitude_y
560064,2024-08-26,9750,9283,95.21025641,13.20550116,77.52923516,12.1669167,77.1099722
560065,2024-08-26,2733,2588,94.69447494,13.09722479,77.56254867,NA,NA
560066,2024-08-26,25058,23494,93.75848033,12.97798116,77.70951159,13.443093,77.62927
560067,2024-08-26,4076,3767,92.41903827,13.02456751,77.80547457,12.9058978,77.418486
560068,2024-08-26,14619,13694,93.67261783,12.90323863,77.618341,12.9710833,77.656
560069,2024-08-26,2662,2546,95.64237415,12.93441064,77.59269417,12.9104513,77.6101259
560070,2024-08-26,5366,5133,95.6578457,12.91964015,77.55211686,13.0681389,77.6292222
560071,2024-08-26,1203,1107,92.01995012,12.96505196,77.63360963,12.9139919,77.5976697
560072,2024-08-26,2948,2800,94.97964722,12.96909,77.4996,12.993702,77.539097
560073,2024-08-26,2597,2531,97.45860608,13.05047847,77.47320817,12.1525556,77.9887222
560075,2024-08-26,3906,3729,95.46850998,12.98122039,77.64605906,12.801736,77.70425
560076,2024-08-26,35560,33797,95.04218223,12.90331177,77.61831694,12.8437683,77.5092369
560077,2024-08-26,6121,5637,92.09279529,13.06626356,77.62507532,12.8564531,77.5884322
560078,2024-08-26,14992,14314,95.47758805,12.91225934,77.56731923,13.0133889,77.62975
560079,2024-08-26,4122,3923,95.17224648,12.99038786,77.52103067,12.9432816,77.5425557
560080,2024-08-26,10,10,100,13.01477059,77.57447741,13.010635,77.546496
560081,2024-08-23,107,96,89.71962617,12.8022631,77.70483926,13.180673,16.7559
560082,2024-08-26,330,303,91.81818182,12.82225847,77.51431618,13.133999,77.478801
560083,2024-08-26,1551,1451,93.55254674,12.86213277,77.58494351,13.133524,77.491132
560084,2024-08-26,2052,1963,95.66276803,13.01701328,77.62308524,13.086295,77.497311
560085,2024-08-26,5900,5672,96.13559322,12.9169386,77.53168887,12.999661,77.451037
560086,2024-08-26,1613,1506,93.36639802,12.998006,77.52402914,13.056892,77.598543
560087,2024-08-26,2911,2650,91.03400893,12.93989738,77.70694147,12.9861389,77.6521667
560088,2024-08-17,7,6,85.71428571,13.14515623,77.46145307,13.0687778,77.9689444
560089,2024-08-26,12,0,0,13.16070089,77.46429306,12.9384536,77.6191488
560090,2024-08-26,2836,2745,96.79125529,13.07210129,77.49130773,13.011426,77.535877
560091,2024-08-26,887,807,90.98083427,13.00964482,77.47694235,13.079368,77.559539
560092,2024-08-26,5230,4905,93.78585086,13.05457913,77.56926102,12.920649,77.510796
560093,2024-08-26,3088,2813,91.09455959,12.98694601,77.64803161,12.8609807,77.7069751
560094,2024-08-26,5540,5307,95.79422383,13.03932596,77.56411264,12.8400702,77.6635448
560095,2024-08-26,13433,12662,94.26040348,12.94044,77.60907,12.9141099,77.6371518
560096,2024-08-26,288,266,92.36111111,13.01833211,77.52191279,12.9299167,77.6754444
560097,2024-08-26,1459,1357,93.00891021,13.08328899,77.53925728,12.964979,77.538072
560098,2024-08-26,8794,8325,94.66681829,12.90797754,77.52828103,12.81887,77.6378921
560099,2024-08-26,1186,1012,85.32883642,12.83246087,77.67640513,13.08936,77.485858
560100,2024-08-26,23836,22721,95.32220171,12.87036057,77.65829066,12.8624365,77.564426
560101,2024-08-23,4,0,0,,,12.8684125,77.5381189
560102,2024-08-26,22318,21205,95.012994,12.90561332,77.63984512,12.958211,77.47564
560103,2024-08-26,20103,19037,94.69730886,12.9202,77.68267,12.8963107,77.559239
560104,2024-08-26,457,431,94.3107221,12.96805299,77.5393076,13.267672,77.55238
560105,2024-08-26,280,238,85,12.782101,77.594627,13.025073,77.659665
560106,2024-08-26,24,22,91.66666667,,,12.870465,77.6269058
560107,2024-08-26,387,377,97.41602067,13.07531167,77.49639505,13.0469264,77.5454255
560108,2024-08-26,411,404,98.29683698,12.86184211,77.56088903,12.8001342,77.5081318
560109,2024-08-26,176,165,93.75,12.85373599,77.52286523,12.979381,77.791469
560111,2024-08-26,172,147,85.46511628,12.90188624,77.55281919,13.1989444,77.704
560112,2024-08-26,84,74,88.0952381,12.9808066,77.43603275,14.1068675,77.2847845
560113,2024-08-26,31,30,96.77419355,13.02494405,77.65956677,13.44,77.48
560114,2024-08-23,36,31,86.11111111,12.86973136,77.65330643,13.9259397,77.956697
560115,2024-08-26,78,77,98.71794872,13.02351872,77.78454544,13.5359787,77.6936474
560117,2024-08-26,233,170,72.96137339,13.02456751,77.80547457,12.76,77.73
560160,2024-08-26,204,172,84.31372549,,,12.8,77.8
561203,2024-08-20,9,5,55.55555556,,,NA,NA
562101,2024-08-22,2,1,50,,,13.27,77.77
562106,2024-08-26,70,67,95.71428571,12.777213,77.594963,13.13,77.88
562107,2024-08-26,58,50,86.20689655,12.72662537,77.74992019,12.66,77.39
562109,2024-08-23,2,2,100,,,12.49,77.52
562110,2024-08-19,3,3,100,,,13.02,77.24
562114,2024-08-26,20,17,85,,,13.17,77.35
562117,2024-08-26,4,4,100,,,12.91,77.81
562123,2024-08-26,8,0,0,13.1201426,77.29207992,13.13,77.24
562125,2024-08-26,932,849,91.0944206,12.88740744,77.73838457,13.24,77.82
562129,2024-08-26,214,201,93.92523364,,,13.02,77.38
562130,2024-08-26,85,70,82.35294118,12.97067834,77.3245544,13.17,77.7
562145,2024-08-26,44,40,90.90909091,,,13.18,77.65
562149,2024-08-17,1,1,100,13.08721888,77.65476116,NA,NA
562157,2024-08-26,374,297,79.41176471,13.15155333,77.58167211,12.68,77.17
562159,2024-08-10,13,11,84.61538462,,,13.12,77.43
562162,2024-08-12,4,3,75,13.09574811,77.42144034,13.2419572,78.0709477
563101,2024-08-26,522,505,96.74329502,,,13.0729007,78.1528416
566041,2024-08-23,3,3,100,,,13.4697162,78.2699477
566076,2024-08-23,56,49,87.5,,,,
